file_name,file_path,file_size_mb,page_count,inventory_timestamp,title,author,subject,creator,producer,creation_date,modification_date,first_page_title
1.pdf,/home/manu/mining_gpt/data/raw_pdfs/1.pdf,11.98,167,2026-06-01T15:13:34.584904,mining of minerals .cdr,rao,,PScript5.dll Version 5.2.2,Acrobat Distiller 4.05 for Windows,2010-03-19 18:47:33,2010-05-10 15:33:19+05:30,"Ministry of Environment & Forests GOVERNMENT OF INDIA, NEW DELHI EIA GUIDANCE MANUAL - MINING OF MINERALS Environmental Impact Assessment Guidance Manual MINING OF MINERALS"
1005_15052026064021.pdf,/home/manu/mining_gpt/data/raw_pdfs/1005_15052026064021.pdf,0.73,10,2026-06-01T15:13:34.591291,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2025-10-21 16:15:45+05:30,2025-10-21 16:16:12+05:30,6986 GI/2025 (1) रजिस्ट्री सं. डी.एल .- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
1012_11082025014333.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025014333.pdf,0.13,14,2026-06-01T15:13:34.594284,"THE AIR (PREVENTION AND CONTROL OF POLLUTION) ACT, 1981",,,,wkhtmltopdf,2012-05-30 10:33:08+00:00,,"THE AIR (PREVENTION AND CONTROL OF POLLUTION) ACT, No. 14 of 1981 [29th March, 1981] An Act to provide for the prevention, control and abatement of air pollution, for the establishment, with a view to carrying out the aforesaid purposes, of Boards, for conferring on and assigning to such Boards"
1012_11082025023324.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025023324.pdf,1.79,8,2026-06-01T15:13:34.601256,,,,PDFium,PDFium,2024-11-21 15:38:59,,7313 GI/2024 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
1012_11082025033737.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025033737.pdf,0.23,20,2026-06-01T15:13:34.607808,,,,,ilovepdf.com,,2018-11-26 10:23:53+01:00,"THE AIR (PREVENTION AND CONTROL OF POLLUTION) RULES, 1982 (As amended to date)"
1012_11082025034049.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025034049.pdf,1.77,4,2026-06-01T15:13:34.614332,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2024-11-13 16:52:19+05:30,2024-11-13 16:52:34+05:30,7314 GI/2024 (1) रजिस्ट्री सं . डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
1012_11082025034352.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025034352.pdf,1.94,6,2026-06-01T15:13:34.621401,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2025-07-30 14:38:59+05:30,2025-07-30 14:39:27+05:30,5062 GI/2025 (1) रजिस्ट्री सं. डी.एल .- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
1012_11082025034702.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_11082025034702.pdf,2.23,66,2026-06-01T15:13:34.642994,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2025-01-31 11:21:46+05:30,2025-01-31 11:22:20+05:30,753 GI/2025 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
1012_15052026065705.pdf,/home/manu/mining_gpt/data/raw_pdfs/1012_15052026065705.pdf,0.93,8,2026-06-01T15:13:34.646839,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2026-01-27 22:44:52+05:30,2026-01-27 22:50:12+05:30,545 GI/2026 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
11.pdf,/home/manu/mining_gpt/data/raw_pdfs/11.pdf,5.62,216,2026-06-01T15:13:34.698772,Untitled,,,UnknownApplication,GPL Ghostscript 8.56,2010-09-15 10:30:13+00:00,2010-12-24 10:54:45+05:30,Prepared for Government of India
2.pdf,/home/manu/mining_gpt/data/raw_pdfs/2.pdf,7.88,259,2026-06-01T15:13:34.768841,Untitled,,,UnknownApplication,GPL Ghostscript 8.56,2010-09-15 10:18:24+00:00,2010-12-24 11:02:48+05:30,Prepared for Government of India
330.pdf,/home/manu/mining_gpt/data/raw_pdfs/330.pdf,0.05,6,2026-06-01T15:13:34.770477,"THE PUBLIC LIABILITY INSURANCE ACT, 1991",,,,wkhtmltopdf,2012-05-30 08:48:35+00:00,,"THE PUBLIC LIABILITY INSURANCE RULES, 1991 MINISTRY OF ENVIRONMENT AND FORESTS (Department of Environment, Forests and Wildlife) New Delhi, the 23rd January, 1991 Magha, 3, 1912 (Saka) NOTIFICATION"
4-7-2014-4-fencing-of-sefety-zone.pdf,/home/manu/mining_gpt/data/raw_pdfs/4-7-2014-4-fencing-of-sefety-zone.pdf,0.08,2,2026-06-01T15:13:34.772236,,,,Scan Process Machine,Adobe Acrobat 9.47 Paper Capture Plug-in,2014-07-04 17:37:19+00:00,2014-08-13 13:47:43+05:30,"F. No. 11-125/2014 - Fe Government of India Ministry of EnvironmeJ:lt, Forests & Climate Change (FC Division) The Principal Secretary (Forests),"
5.pdf,/home/manu/mining_gpt/data/raw_pdfs/5.pdf,12.14,112,2026-06-01T15:13:34.818196,Coal washeries.cdr,rao,,PScript5.dll Version 5.2.2,Acrobat Distiller 4.05 for Windows,2010-03-15 18:47:17,2010-05-10 15:36:57+05:30,"Ministry of Environment & Forests GOVERNMENT OF INDIA, NEW DELHI EIA GUIDANCE MANUAL - COAL WASHERIES Environmental Impact Assessment Guidance Manual COAL WASHERIES"
6.pdf,/home/manu/mining_gpt/data/raw_pdfs/6.pdf,0.07,8,2026-06-01T15:13:34.820310,"THE PUBLIC LIABILITY INSURANCE ACT, 1991",,,,wkhtmltopdf,2012-05-30 08:46:38+00:00,,"THE PUBLIC LIABILITY INSURANCE ACT, 1991 No. 6 of 1991 [22nd January, 1991] MINISTRY OF LAW AND JUSTICE (Legislative Department)"
642d0ab635ce81680673462.pdf,/home/manu/mining_gpt/data/raw_pdfs/642d0ab635ce81680673462.pdf,2.76,222,2026-06-01T15:13:34.861486,Microsoft Word - 1086gi.doc,Administrator,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2017-03-05 14:04:21+00:00,2017-03-05 14:19:08+05:30,"1086 GI/2017 (1) jftLVªh laö Mhö ,yö&33004@99 REGD. NO. D. L.-33004-99 vlk-kj.k EXTRAORDINARY Hkkx II—[k.M 3 —mi&[k.M (i)"
642d0b35621c51680673589.pdf,/home/manu/mining_gpt/data/raw_pdfs/642d0b35621c51680673589.pdf,0.54,26,2026-06-01T15:13:34.868750,Microsoft Word - 1759gi.doc,Administrator,,PScript5.dll Version 5.2.2,GPL Ghostscript 8.15,2015-04-21 15:10:39,2015-04-21 15:10:39,"1759 GI/2015 (1) jftLVªh laö Mhö ,yö&33004@99 REGD. NO. D. L.-33004/99 vlk/kj.k EXTRAORDINARY Hkkx II—[k.M 3 —mi&[k.M (i)"
64dc579c4f9e31692161948.pdf,/home/manu/mining_gpt/data/raw_pdfs/64dc579c4f9e31692161948.pdf,0.27,9,2026-06-01T15:13:34.872617,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2023-08-10 04:44:41+05:30,2023-08-10 04:46:25+05:30,"Short title and commencement. THE MINES AND MINERALS (DEVELOPMENT AND REGULATION) AMENDMENT ACT, 2023 NO. 16 OF 2023"
6523accddc55f1696836813.pdf,/home/manu/mining_gpt/data/raw_pdfs/6523accddc55f1696836813.pdf,0.84,2,2026-06-01T15:13:34.876426,,,,PDFium,PDFium,2023-10-09 10:42:31,,5315 GI/2023 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
6523af0be1e881696837387.pdf,/home/manu/mining_gpt/data/raw_pdfs/6523af0be1e881696837387.pdf,0.84,2,2026-06-01T15:13:34.879535,,,,PDFium,PDFium,2023-10-09 10:41:21,,5314 GI/2023 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
652cc2265412c1697432102.pdf,/home/manu/mining_gpt/data/raw_pdfs/652cc2265412c1697432102.pdf,0.57,3,2026-06-01T15:13:34.883050,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2023-10-13 18:06:10+05:30,2023-10-13 18:09:19+05:30,6519GI/2023 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
652cc26c47f961697432172.pdf,/home/manu/mining_gpt/data/raw_pdfs/652cc26c47f961697432172.pdf,1.11,3,2026-06-01T15:13:34.886930,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2023-10-12 22:21:16+05:30,2023-10-12 22:22:39+05:30,6520 GI/2023 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
65ae5352376011705923410.pdf,/home/manu/mining_gpt/data/raw_pdfs/65ae5352376011705923410.pdf,1.46,24,2026-06-01T15:13:34.896591,,,,,iTextSharp™ 5.5.13.1 ©2000-2019 iText Group NV (AGPL-version),2024-01-21 20:23:45+05:30,2024-01-21 20:30:11+05:30,485 GI/2024 (1) रजिस्ट्री सं. डी.एल.- 33004/99 REGD. No. D. L.-33004/99 xxxGIDHxxx xxxGIDExxx असाधारण
